raw_text,label
The lectures were excellent and very engaging.,pos
Too much workload for one semester.,neg
Professor explains concepts clearly.,pos
Assignment deadlines are overwhelming.,neg
Great course materials and helpful slides.,pos
Online platform was confusing at first.,neg
Feedback on assignments came back quickly.,pos
I learned a lot about data analysis.,pos
Grading criteria could be clearer.,neg
Best course I have taken this year.,pos
Group projects were poorly structured.,neg
Office hours were very supportive.,pos
Reading list was too long.,neg
Interactive exercises helped me understand R.,pos
Midterm was fair and well aligned with lectures.,pos
Could use more practical examples.,neutral
"Oh sure, the workload is totally manageable said no one ever.",neg
Discussion sessions were valuable.,pos
Some lecture recordings had audio issues.,neg
The final project was a good learning experience.,pos
Course pace was too fast in March.,neg
Peer review process worked well.,pos
Would recommend this course to others.,pos
Exam instructions were unclear.,neg
Tutorial assistants were helpful.,pos
Slides need better formatting.,neg
Love how the professor uses real-world datasets.,pos
Too many overlapping deadlines with other courses.,neg
Sentiment analysis module was fascinating.,pos
Moodle navigation is frustrating.,neg
Guest lecture on NLP was inspiring.,pos
Lab sessions should be longer.,neutral
Clear rubrics made grading transparent.,pos
Some topics felt rushed near the end.,neg
Fantastic introduction to text mining.,pos
Waiting two weeks for feedback is unacceptable.,neg
Course structure is logical and well organized.,pos
"Yes, I absolutely enjoy studying at 2am every week.",neg
More office hours would help before exams.,neutral
Collaborative tools worked smoothly.,pos
Textbook was optional but useful.,neutral
Assignments built skills progressively.,pos
Not enough guidance on the R project.,neg
Engaging discussions in every class.,pos
Course exceeded my expectations.,pos
Technical setup for remote students was poor.,neg
Would take another course with this professor.,pos
Assessment weighting felt unbalanced.,neg
Overall a solid and informative course.,pos
Need more examples of sentiment lexicons.,neutral
